resource,feed_resource,tier,category,name,status,detail,note
Property,Property,1,requirement,Confidential Documents — must be in feed with caption/title fields,PASS,"documents located in feed, verify captions/coverage",
Property,Property,1,requirement,"ALL agent-viewable listing data (flex, coming soon, members only, private listings)",VERIFY,verify with MLS,
Property,Property,1,requirement,"Datashares -- understanding at the onset the extent of datashares in the feed, and optionally which fields represent this (for instance, OriginatingSystemName or OriginatingSystemSubName)",VERIFY,verify with MLS,
Property,Property,2,requirement,"All historical listing data (at minimum, some historical data is Tier 1)",VERIFY,verify with MLS,
Property,Property,3,requirement,Rooms data (individual room details),VERIFY,verify with MLS,
Property,Property,1,field,BathroomsFull,FAIL,not in feed metadata,
Property,Property,1,field,BathroomsHalf,FAIL,not in feed metadata,
Property,Property,1,field,BathroomsPartial,FAIL,not in feed metadata,
Property,Property,1,field,BathroomsTotalInteger,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,BedroomsTotal,PASS,populated in 48/50 sampled rows,
Property,Property,1,field,BuyerAgentKey,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,BuyerAgentKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,BuyerAgentMlsId,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,BuyerOfficeKey,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,BuyerOfficeKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,BuyerOfficeMlsId,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,City,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,CloseDate,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,ClosePrice,PASS,populated in 7/50 sampled rows,
Property,Property,1,field,CoBuyerAgentKey,PASS,populated in 1/50 sampled rows,
Property,Property,1,field,CoBuyerAgentKeyNumeric,FAIL,not in feed metadata,
Property,Property,1,field,CoBuyerAgentMlsId,PASS,populated in 1/50 sampled rows,
Property,Property,1,field,CoBuyerOfficeKey,PASS,populated in 1/50 sampled rows,
Property,Property,1,field,CoBuyerOfficeMlsId,PASS,populated in 1/50 sampled rows,
Property,Property,1,field,CoListAgentKey,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,CoListAgentKeyNumeric,FAIL,not in feed metadata,
